screening_score,pki_dfg_in,pki_dfg_out,delta_pki,sync_score,prior_dfg_out_prob,used_prior,ligand,ligand_smiles,compound_mw,compound_logp,compound_hbd
0.9897321,7.685143947601318,7.911362648010254,-0.46638593077659607,0.8500000238418579,,False,LG8,C[N+]1=CC(=C2C(=C3c4ccccc4[N+]5=C3CC(CC5)CN(C)C)C(=O)NC2=O)c6c1cccc6,452.55800000000016,2.978800000000001,1
0.98963124,7.735212802886963,7.959321975708008,-0.4484871029853821,0.8500000238418579,,False,G4Q,CCC(=O)Nc1ccc(cc1)N2CCN(CC2)Cc3ccc(cc3)c4c(cc5c(n4)C=CNC5=O)c6ccccc6,543.6710000000002,5.927800000000005,2
0.9891467,7.798687934875488,8.020020484924316,-0.42748579382896423,0.8500000238418579,,False,G4K,CCC(=O)Nc1ccc2c(c1)N(C(=O)N2)C3CCN(CC3)Cc4ccc(cc4)c5c(cc6c(n5)C=CNC6=O)c7ccccc7,598.7070000000002,6.085700000000005,3
0.98910964,7.679116725921631,7.9055495262146,-0.46744343638420105,0.8500000238418579,,False,FEW,CC(C)c1ccc(cc1C#Cc2cnc3n2ccnc3)C(=O)Nc4cc(cc(c4)C(F)(F)F)CN5CCN(CC5)C,560.624,5.271000000000004,1
0.98879856,7.742330551147461,7.966178894042969,-0.44655460119247437,0.8500000238418579,,False,DZ6,Cc1c(cccc1C(=O)Nc2cc(cc(c2)N3CCN(CC3)C)C(C)C)C#Cc4cnc5n4cc(nc5)c6ccc(cc6)N,583.7400000000002,5.814220000000005,2
0.9887583,7.861445903778076,8.079765319824219,-0.40658435225486755,0.8500000238418579,,False,VSA,c1ccc(cc1)NC(=O)Nc2ccc(cc2)c3cn(c4c3c(ncn4)N)C5CCCC5,412.4970000000003,5.439600000000003,3
0.988749,7.74900484085083,7.97254753112793,-0.4445410370826721,0.8500000238418579,,False,3Z5,Cc1ccc(c(c1c2ccc3c(c2)ccc(n3)C)N)C(=O)C4=C(N(N(C4=O)c5ccccc5)C)c6ccccc6,524.6240000000003,6.488240000000006,1
0.9886652,7.803614616394043,8.024704933166504,-0.4255208671092987,0.8500000238418579,,False,5I9,c1ccc2c(c1)Nc3c(c(ccn3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F)O2,514.4880000000003,6.358800000000003,3
0.9886297,7.780006408691406,8.002199172973633,-0.433817595243454,0.8500000238418579,,False,ZZL,c1cc(c(c(c1)F)C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(cc5)C(=O)O)F,476.87000000000006,5.868000000000002,2
0.9883487,7.735668182373047,7.959785461425781,-0.44824302196502686,0.8500000238418579,,False,VNS,CN1CCC(CC1)c2ccc(cc2)c3ccc4c(c3)C(=O)N(C4)C(c5cc(ccc5O)F)C(=O)Nc6nccs6,556.6630000000002,5.799800000000006,2
0.9876511,7.824506759643555,8.044645309448242,-0.4189921021461487,0.8500000238418579,,False,2P5,Cc1c(cccc1NC(=O)c2ccc(cc2)C(C)(C)C)c3nc4c(c(n3)Nc5ccc(cc5)C(=O)N6CCOCC6)[nH]cn4,589.7,6.0941200000000055,3
0.9876199,7.811207294464111,8.031986236572266,-0.4232029616832733,0.8500000238418579,,False,T6E,c1cc(ccc1c2csc3c2c(ncn3)N)NC(=O)Nc4cc(ccc4F)C(F)(F)F,447.417,5.742400000000002,3
0.9875142,7.793849468231201,8.015395164489746,-0.4287048876285553,0.8500000238418579,,False,K11,CNc1nccc(n1)c2cccnc2Oc3ccc(c4c3cccc4)Nc5[nH]c6cc(ccc6n5)C(F)(F)F,527.5100000000002,7.164500000000005,3
